Log file created successfully...
Initialization succeded
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1132 , size[23][2] = 508 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1135 , size[23][2] = 509 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1138 , size[23][2] = 510 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1141 , size[23][2] = 511 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1144 , size[23][2] = 512 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1147 , size[23][2] = 513 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1150 , size[23][2] = 514 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1153 , size[23][2] = 515 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1156 , size[23][2] = 516 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1159 , size[23][2] = 517 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1162 , size[23][2] = 518 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1165 , size[23][2] = 519 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1168 , size[23][2] = 520 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1171 , size[23][2] = 521 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1174 , size[23][2] = 522 
